file	n	m	k	t_read	t_dist	t_sort	t_mst	t_id	t_write	t_total
input/1.txt	50	2	2	0.000052715	0.000009032	0.000098645	0.000003977	0.000000376	0.000043413	0.000208158
input/2.txt	100	3	4	0.000083248	0.000034937	0.000457332	0.000007249	0.000000495	0.000073819	0.000657080
input/3.txt	1000	2	5	0.000453409	0.003592918	0.087934602	0.000382276	0.000007224	0.000247430	0.092617859
input/4.txt	2500	5	5	0.001867559	0.035024990	0.675070750	0.001028268	0.000013567	0.000665212	0.713670346
input/5.txt	5000	10	10	0.005995426	0.149940764	3.531918473	0.003505963	0.000035613	0.001439687	3.692835926
input/1.txt	50	2	2	0.000075090	0.000014490	0.000170935	0.000006972	0.000000616	0.000123040	0.000391143
input/2.txt	100	3	4	0.000118087	0.000057165	0.000794745	0.000012484	0.000000795	0.000163059	0.001146335
input/3.txt	1000	2	5	0.000656578	0.004960024	0.133198129	0.000572267	0.000007697	0.000323950	0.139718645
input/4.txt	2500	5	5	0.002623422	0.037177672	0.916387817	0.001667364	0.000018397	0.000684440	0.958559112
input/5.txt	5000	10	10	0.010914376	0.200471016	4.703851291	0.005682712	0.000066522	0.002060499	4.923046416
input/1.txt	50	2	2	0.000104129	0.000018500	0.000229963	0.000009822	0.000000850	0.000178764	0.000542028
input/2.txt	100	3	4	0.000159976	0.000075671	0.001610467	0.000017946	0.000001474	0.000178475	0.002044009
input/3.txt	1000	2	5	0.000782621	0.007529984	0.180255848	0.000678523	0.000010243	0.000459878	0.189717097
input/4.txt	2500	5	5	0.004099665	0.051117298	1.189423845	0.001816103	0.000022998	0.000889082	1.247368991
input/5.txt	5000	10	10	0.011716083	0.344729521	4.689330128	0.003327439	0.000031280	0.001363003	5.050497454
input/1.txt	50	2	2	0.000066817	0.000011951	0.000149910	0.000006106	0.000000537	0.000107690	0.000343011
input/2.txt	100	3	4	0.000106067	0.000050298	0.000718324	0.000011133	0.000000749	0.000106281	0.000992852
input/3.txt	1000	2	5	0.000525993	0.004921254	0.118045896	0.000489039	0.000007389	0.000503878	0.124493449
input/4.txt	2500	5	5	0.002390235	0.035019524	0.899916482	0.001799293	0.000019467	0.000676888	0.939821889
input/5.txt	5000	10	10	0.009386601	0.204517729	4.909342925	0.004376687	0.000078316	0.001921389	5.129623647
input/1.txt	50	2	2	0.000093190	0.000017231	0.000213508	0.000008726	0.000000772	0.000148593	0.000482020
input/2.txt	100	3	4	0.000147510	0.000067265	0.000983782	0.000015303	0.000001064	0.000174360	0.001389284
input/3.txt	1000	2	5	0.000756039	0.007575052	0.164501496	0.000756974	0.000012139	0.000659405	0.174261105
input/4.txt	2500	5	5	0.003301634	0.048677142	1.070134950	0.002574010	0.000035448	0.000783847	1.125507031
input/5.txt	5000	10	10	0.011149765	0.231136294	4.624726684	0.003638371	0.000052730	0.001349975	4.872053819
